Code,Category,Description,Demand,Price,Service Time,Operational Expense,Number of Dentist,Demand per Day,Relative Prob,,,,,,,,,
417,Endodontics,,59,353.1754237,15,211.9052542,3,0.05700483092,0.15%,,,,,,,,,
418,Endodontics,,59,153.6881356,15,92.21288136,3,0.05700483092,0.15%,,,,,,,,,
419,Endodontics,,74,269.3425676,15,161.6055405,3,0.07149758454,0.18%,,,,,,,,,
431,Endodontics,,1,100,21.00,60,3,0.0009661835749,0.00%,,,,,,,,,
455,Endodontics,,18,179.7666667,15,107.86,3,0.01739130435,0.04%,,,,,,,,,
88414,Endodontics,,3,76.71666667,30,46.03,3,0.002898550725,0.01%,,,,,,,,,
521,Restorative services,,134,190.5847015,15,114.3508209,3,0.129468599,0.33%,,,,,,,,,
522,Restorative services,,121,206.6586777,25,123.9952066,3,0.1169082126,0.30%,,,,,,,,,
523,Restorative services,,234,231.3939316,25,138.836359,3,0.2260869565,0.58%,,,,,,,,,
524,Restorative services,,218,255.6124771,25,153.3674862,3,0.2106280193,0.54%,,,,,,,,,
525,Restorative services,,137,318.739854,25,191.2439124,3,0.1323671498,0.34%,,,,,,,,,
526,Restorative services,,27,400.3333333,31.00,240.2,3,0.02608695652,0.07%,,,,,,,,,
531,Restorative services,,647,185.7357651,30,111.441459,3,0.6251207729,1.61%,,,,,,,,,
532,Restorative services,,1294,226.0621561,45,135.6372937,3,1.250241546,3.23%,,,,,,,,,
533,Restorative services,,981,251.7444546,60,151.0466728,3,0.947826087,2.45%,,,,,,,,,
534,Restorative services,,528,283.9324432,30,170.3594659,3,0.5101449275,1.32%,,,,,,,,,
535,Restorative services,,216,328.4297222,45,197.0578333,3,0.2086956522,0.54%,,,,,,,,,
572,Restorative services,,36,103.8686111,30,62.32116667,3,0.0347826087,0.09%,,,,,,,,,
574,Restorative services,,7,117.7285714,31.00,70.63714286,3,0.006763285024,0.02%,,,,,,,,,
576,Restorative services,,1,208.25,31.52,124.95,3,0.0009661835749,0.00%,,,,,,,,,
577,Restorative services,,573,32.0374171,30,19.22245026,3,0.5536231884,1.43%,,,,,,,,,
578,Restorative services,,93,43.17795699,30,25.90677419,3,0.08985507246,0.23%,,,,,,,,,
88521,Restorative services,,6,117.4416667,15,70.465,3,0.005797101449,0.01%,,,,,,,,,
88523,Restorative services,,5,169.03,25,101.418,3,0.004830917874,0.01%,,,,,,,,,
88524,Restorative services,,8,195.6125,25,117.3675,3,0.007729468599,0.02%,,,,,,,,,
88525,Restorative services,,4,229.85,25,137.91,3,0.0038647343,0.01%,,,,,,,,,
88531,Restorative services,,55,124.6927273,30,74.81563636,3,0.05314009662,0.14%,,,,,,,,,
88532,Restorative services,,165,156.7084848,45,94.02509091,3,0.1594202899,0.41%,,,,,,,,,
88533,Restorative services,,51,190.2078431,60,114.1247059,3,0.04927536232,0.13%,,,,,,,,,
88534,Restorative services,,9,213.3555556,30,128.0133333,3,0.008695652174,0.02%,,,,,,,,,
88586,Restorative services,,5,259.73,30,155.838,3,0.004830917874,0.01%,,,,,,,,,
613,Prosthodontics,,270,1526.785556,45,916.0713333,3,0.2608695652,0.67%,,,,,,,,,
627,Prosthodontics,,197,229.5182741,24.00,137.7109645,3,0.1903381643,0.49%,,,,,,,,,
642,Prosthodontics,,1,415,24.00,249,3,0.0009661835749,0.00%,,,,,,,,,
643,Prosthodontics,,17,1181,24.00,708.6,3,0.01642512077,0.04%,,,,,,,,,
651,Prosthodontics,,5,188.6,10,113.16,3,0.004830917874,0.01%,,,,,,,,,
652,Prosthodontics,,1,167,10,100.2,3,0.0009661835749,0.00%,,,,,,,,,
655,Prosthodontics,,11,62.66363636,10,37.59818182,3,0.01062801932,0.03%,,,,,,,,,
711,Prosthodontics,,14,1372.5,30,823.5,3,0.01352657005,0.03%,,,,,,,,,
712,Prosthodontics,,6,1391.5,30,834.9,3,0.005797101449,0.01%,,,,,,,,,
721,Prosthodontics,,9,836.6388889,30,501.9833333,3,0.008695652174,0.02%,,,,,,,,,
722,Prosthodontics,,3,921.6666667,30,553,3,0.002898550725,0.01%,,,,,,,,,
727,Prosthodontics,,5,1379.78,24.00,827.868,3,0.004830917874,0.01%,,,,,,,,,
728,Prosthodontics,,5,1564.19,24.00,938.514,3,0.004830917874,0.01%,,,,,,,,,
731,Prosthodontics,,29,53.97931034,30,32.38758621,3,0.02801932367,0.07%,,,,,,,,,
732,Prosthodontics,,9,53.2,30,31.92,3,0.008695652174,0.02%,,,,,,,,,
733,Prosthodontics,,63,49.12698413,24.00,29.47619048,3,0.06086956522,0.16%,,,,,,,,,
736,Prosthodontics,,32,47.3046875,24.00,28.3828125,3,0.0309178744,0.08%,,,,,,,,,
741,Prosthodontics,,4,48.1375,30,28.8825,3,0.0038647343,0.01%,,,,,,,,,
743,Prosthodontics,,10,440.2,30,264.12,3,0.009661835749,0.02%,,,,,,,,,
744,Prosthodontics,,2,443.5,30,266.1,3,0.00193236715,0.00%,,,,,,,,,
811,Orthodontics,,109,265.1192661,20.00,159.0715596,3,0.1053140097,0.27%,,,,,,,,,
825,Orthodontics,,119,1860.155042,20.00,1116.093025,3,0.1149758454,0.30%,,,,,,,,,
833,Orthodontics,,2,725,40.00,435,3,0.00193236715,0.00%,,,,,,,,,
845,Orthodontics,,15,344,20.00,206.4,3,0.01449275362,0.04%,,,,,,,,,
846,Orthodontics,,2,202.5,20.00,121.5,3,0.00193236715,0.00%,,,,,,,,,
872,Orthodontics,,1,179,20.00,107.4,3,0.0009661835749,0.00%,,,,,,,,,
874,Orthodontics,,9,140.7944444,,84.47666667,3,0.008695652174,0.02%,,,,,,,,,
88943,General services,,49,67.86428571,18.00,40.71857143,3,0.04734299517,0.12%,,,,,,,,,
915,General services,,1,187,30,112.2,3,0.0009661835749,0.00%,,,,,,,,,
916,General services,,2,109,18.00,65.4,3,0.00193236715,0.00%,,,,,,,,,
926,General services,,200,152.91,15,91.746,3,0.193236715,0.50%,,,,,,,,,
927,General services,,405,13.02703704,15,7.816222222,3,0.3913043478,1.01%,,,,,,,,,
943,General services,,114,84.45614035,18.00,50.67368421,3,0.1101449275,0.28%,,,,,,,,,
945,General services,,1,200,5 ,120,3,0.0009661835749,0.00%,,,,,,,,,
949,General services,,2,224,18.00,134.4,3,0.00193236715,0.00%,,,,,,,,,
965,General services,,71,540.9767606,30,324.5860563,3,0.06859903382,0.18%,,,,,,,,,
0,Miscellaneous,,2,214.375,22.50,128.625,3,0.00193236715,0.00%,,,,,,,,,
981,Miscellaneous,,1,400,30,240,3,0.0009661835749,0.00%,,,,,,,,,
990,Miscellaneous,,22,116.2727273,15,69.76363636,3,0.02125603865,0.05%,,,,,,,,,
9999,Miscellaneous,,885,1.333333333,22.50,0.8,3,0.8550724638,2.21%,,,,,,,,,
Cem,Miscellaneous,,155,1.419354839,22.50,0.8516129032,3,0.1497584541,0.39%,,,,,,,,,
D9986,Miscellaneous,,1276,0.5478056426,22.50,0.3286833856,3,1.232850242,3.18%,,,,,,,,,
Insert,Miscellaneous,,14,0,22.50,0,3,0.01352657005,0.03%,,,,,,,,,
Zclin,Charting,,2,0,12.50,0,3,0.00193236715,0.00%,,,,,,,,,
15,Diagnostic services,,6,99.16666667,30.00,59.5,3,0.005797101449,0.01%,,,,,,,,,
19,Diagnostic services,,2,59.085,15.00,35.451,3,0.00193236715,0.00%,,,,,,,,,
