No,AU Time (Min),Offer Gaia Price AUD,Cost Material AUD,Offer Gaia Price IDR,Cost Material IDR
513,1:00:00,629.0,189,2281500,684450
514,1:00:00,839.0,252,3042000,912600
515,1:00:00,1048.0,314,3802500,1140750
521,0:30:00,67.0,20,241500,72450
522,0:45:00,133.0,40,483000,144900
523,1:00:00,200.0,60,724500,217350
524,0:30:00,266.0,80,966000,289800
525,0:45:00,302.0,91,1207500,362250
526,0:45:00,205.0,62,480000,144000
531,0:30:00,87.0,26,315000,94500
532,0:45:00,145.0,44,525000,157500
533,1:00:00,186.0,56,675000,202500
534,0:30:00,217.0,65,786000,235800
535,0:45:00,242.0,73,877500,263250
536,0:45:00,259.0,78,940500,282150
541,1:00:00,7880.0,2364,28587000,8576100
542,1:00:00,17006.0,5102,61690500,18507150
543,1:00:00,16609.0,4983,60250500,18075150
544,1:00:00,22674.0,6802,82254000,24676200
545,1:00:00,27566.0,8270,100000000,30000000
551,1:00:00,5563.0,1669,20181000,6054300
552,1:00:00,11126.0,3338,40362000,12108600
553,1:00:00,16689.0,5007,60543000,18162900
554,1:00:00,1500.0,450,80724000,24217200
555,1:00:00,250.0,75,102825000,30847500
556,1:00:00,450.0,135,13551000,4065300
571,1:00:00,164.0,49,594000,178200
572,0:45:00,174.0,52,718500,215550
574,0:15:00,198.0,59,718500,215550
575,0:05:00,115.0,35,496500,148950
577,0:15:00,115.0,35,592500,177750
578,0:15:00,115.0,35,1009500,302850
579,0:30:00,278.0,83,1009500,302850
586,0:45:00,168.0,50,609000,182700
587,0:45:00,168.0,50,609000,182700
588,0:45:00,202.0,61,732000,219600
595,0:30:00,202.0,61,732000,219600
596,0:30:00,174.0,52,631500,189450
597,0:15:00,186.0,56,676500,202950
611,1:00:00,354.0,106,1282500,384750
613,1:00:00,1328.0,398,1314000,394200
615,1:00:00,382.0,115,1386000,415800
618,1:00:00,423.0,127,1533000,459900
625,0:45:00,264.0,79,958500,287550
627,0:45:00,157.0,47,570000,171000
629,0:45:00,91.0,27,330000,99000
631,0:45:00,331.0,99,1200000,360000
632,1:00:00,338.0,101,1225500,367650
633,0:45:00,336.0,101,1219500,365850
634,1:00:00,356.0,107,1290000,387000
642,0:45:00,297.0,89,1077000,323100
643,0:30:00,308.0,92,1116000,334800
644,0:45:00,22.0,7,79500,23850
645,0:30:00,294.0,88,1065000,319500
649,0:30:00,381.0,114,1381500,414450
651,0:30:00,165.0,50,597000,179100
652,0:30:00,147.0,44,532500,159750
653,0:45:00,58.0,17,210000,63000
655,0:30:00,129.0,39,469500,140850
656,0:45:00,129.0,39,469500,140850
658,0:45:00,205.0,62,742500,222750
659,0:30:00,148.0,44,535500,160650
661,0:15:00,276.0,83,1000500,300150
663,0:30:00,342.0,103,1240500,372150
664,1:00:00,1042.0,313,3780000,1134000
665,1:30:00,419.0,126,1519500,455850
666,5:00:00,10198.0,3059,1519500,455850
667,0:30:00,413.0,124,1497000,449100
668,0:30:00,241.0,72,873000,261900
669,0:45:00,213.0,64,772500,231750
671,1:00:00,406.0,122,1515000,454500
672,1:00:00,864.0,259,1515000,454500
673,0:30:00,1658.0,497,4839000,1451700
678,1:00:00,272.0,82,987000,296100
679,0:30:00,406.0,122,10285500,3085650
684,0:15:00,1474.0,442,1317000,395100
688,0:15:00,1572.0,472,1579500,473850
689,0:05:00,445.0,134,1612500,483750
690,0:30:00,2211.0,663,586500,175950
691,1:00:00,577.0,173,720000,216000
711,2:00:00,396.0,119,1354500,406350
712,2:00:00,396.0,119,1140000,342000
713,2:00:00,387.0,116,1140000,342000
714,2:00:00,387.0,116,1140000,342000
715,2:00:00,428.0,128,1141500,342450
716,0:00:00,301.0,90,975000,292500
719,2:00:00,440.0,132,1140000,342000
721,1:30:00,331.0,99,1278000,383400
722,1:30:00,331.0,99,1278000,383400
723,1:30:00,334.0,100,1311000,393300
724,1:30:00,334.0,100,1297500,389250
727,1:30:00,423.0,127,1381500,414450
728,1:30:00,423.0,127,1321500,396450
730,0:30:00,381.0,114,1381500,414450
731,0:40:00,97.0,29,466500,139950
732,0:20:00,96.0,29,451500,135450
733,0:10:00,73.0,22,78000,23400
734,0:20:00,180.0,54,1306500,391950
735,0:10:00,130.0,39,879000,263700
736,0:20:00,165.0,50,781500,234450
